Product_Supermarket_Identifier,Product_Supermarket_Sales
DRA59_CHUKWUDI010,4255.890709
DRA59_CHUKWUDI013,8125.965974
DRB01_CHUKWUDI013,2297.046709
DRB13_CHUKWUDI010,2374.456796
DRB13_CHUKWUDI013,6046.216553
DRB25_CHUKWUDI017,5329.86767
DRB25_CHUKWUDI027,9738.577719
DRB25_CHUKWUDI035,5468.344556
DRB48_CHUKWUDI017,3274.760667
DRB48_CHUKWUDI027,7831.94126
DRB48_CHUKWUDI035,3540.729773
DRB48_CHUKWUDI046,2956.321161
DRB48_CHUKWUDI049,3120.058842
DRC01_CHUKWUDI017,2686.942687
DRC01_CHUKWUDI018,1533.063949
DRC01_CHUKWUDI027,7123.210465
DRC01_CHUKWUDI045,2268.277646
DRC01_CHUKWUDI046,2213.796495
DRC13_CHUKWUDI035,4875.203086
DRC13_CHUKWUDI045,4222.810103
DRC25_CHUKWUDI018,3654.184978
DRC25_CHUKWUDI019,-1497.331966
DRC25_CHUKWUDI027,9383.064295
DRC25_CHUKWUDI045,4329.079361
DRC25_CHUKWUDI046,4377.733765
DRC27_CHUKWUDI010,3752.814556
DRC27_CHUKWUDI018,7094.424898
DRC27_CHUKWUDI049,8075.95813
DRC36_CHUKWUDI013,6644.918491
DRD01_CHUKWUDI017,3385.06503
DRD01_CHUKWUDI018,2291.703266
DRD01_CHUKWUDI035,3587.423034
DRD01_CHUKWUDI045,2952.437374
DRD01_CHUKWUDI049,3124.007155
DRD12_CHUKWUDI017,4722.383786
DRD12_CHUKWUDI018,3308.954152
DRD12_CHUKWUDI027,9254.233581
DRD12_CHUKWUDI035,4978.196795
DRD12_CHUKWUDI045,4293.405263
DRD12_CHUKWUDI046,4260.438175
DRD13_CHUKWUDI017,4136.016853
DRD13_CHUKWUDI018,3120.797976
DRD13_CHUKWUDI027,8668.742798
DRD13_CHUKWUDI035,4288.511002
DRD13_CHUKWUDI045,3795.704854
DRD13_CHUKWUDI049,4059.653166
DRD15_CHUKWUDI010,3582.635045
DRD15_CHUKWUDI013,7345.224432
DRD15_CHUKWUDI046,7618.002191
DRD15_CHUKWUDI049,7843.924097
DRD24_CHUKWUDI027,10282.33923
DRD25_CHUKWUDI027,10193.56242
DRD25_CHUKWUDI035,5866.402205
DRD25_CHUKWUDI045,5266.885373
DRD27_CHUKWUDI017,5015.0159
DRD27_CHUKWUDI019,-1310.070125
DRD27_CHUKWUDI045,4568.219872
DRD37_CHUKWUDI017,4005.638679
DRD37_CHUKWUDI018,2933.473781
DRD37_CHUKWUDI045,3643.79574
DRD37_CHUKWUDI046,3585.743302
DRD37_CHUKWUDI049,3840.202296
DRD49_CHUKWUDI046,10304.82749
DRD60_CHUKWUDI013,7378.765248
DRE01_CHUKWUDI010,5093.775943
DRE01_CHUKWUDI046,9233.882355
DRE03_CHUKWUDI017,3652.055792
DRE03_CHUKWUDI018,2604.791657
DRE03_CHUKWUDI035,3800.757218
DRE03_CHUKWUDI045,3169.459903
DRE03_CHUKWUDI046,3310.431621
DRE03_CHUKWUDI049,3490.242966
DRE12_CHUKWUDI027,8779.592809
DRE12_CHUKWUDI035,4466.708923
DRE12_CHUKWUDI045,3930.767639
DRE13_CHUKWUDI027,9210.676589
DRE13_CHUKWUDI035,4976.297371
DRE13_CHUKWUDI045,4277.47307
DRE13_CHUKWUDI049,4580.491931
DRE15_CHUKWUDI017,3828.780319
DRE15_CHUKWUDI018,2737.818946
DRE15_CHUKWUDI019,-2525.446061
DRE15_CHUKWUDI027,8203.576271
DRE15_CHUKWUDI045,3330.892549
DRE15_CHUKWUDI046,3469.163466
DRE25_CHUKWUDI017,5009.035871
DRE25_CHUKWUDI027,9894.270551
DRE25_CHUKWUDI035,5531.620114
DRE27_CHUKWUDI035,3713.220134
DRE27_CHUKWUDI045,3127.720692
DRE48_CHUKWUDI013,8379.285783
DRE48_CHUKWUDI046,8684.098104
DRE60_CHUKWUDI013,10627.22261
DRF03_CHUKWUDI018,2123.307703
DRF03_CHUKWUDI027,7685.410661
DRF03_CHUKWUDI035,3372.722059
DRF03_CHUKWUDI045,2748.454507
DRF03_CHUKWUDI046,2900.15681
DRF03_CHUKWUDI049,3154.535206
DRF25_CHUKWUDI019,-3302.792456
DRF25_CHUKWUDI027,7520.063835
DRF25_CHUKWUDI035,3189.657251
DRF25_CHUKWUDI045,2604.500229
DRF25_CHUKWUDI046,2550.084982
DRF25_CHUKWUDI049,2797.37296
DRF36_CHUKWUDI010,7724.034084
DRF37_CHUKWUDI013,8113.015448
DRF37_CHUKWUDI018,7772.100073
DRF37_CHUKWUDI035,9082.196
DRF37_CHUKWUDI045,8604.11117
DRF49_CHUKWUDI035,5643.078822
DRF49_CHUKWUDI045,5324.613247
DRF51_CHUKWUDI018,1091.17197
DRF51_CHUKWUDI045,1748.70541
DRF51_CHUKWUDI046,1740.908179
DRF60_CHUKWUDI018,10288.08663
DRF60_CHUKWUDI049,11222.55017
DRG01_CHUKWUDI019,-2781.56608
DRG01_CHUKWUDI027,7871.032728
DRG01_CHUKWUDI035,3650.735384
DRG01_CHUKWUDI046,3011.16126
DRG11_CHUKWUDI045,5065.495783
DRG15_CHUKWUDI017,3356.421752
DRG15_CHUKWUDI035,3406.134131
DRG15_CHUKWUDI045,2856.372831
DRG15_CHUKWUDI046,2908.685411
DRG15_CHUKWUDI049,3056.381811
DRG25_CHUKWUDI013,5885.708676
DRG27_CHUKWUDI018,1506.21485
DRG27_CHUKWUDI019,-3935.315277
DRG27_CHUKWUDI045,1907.942153
DRG27_CHUKWUDI046,1999.43675
DRG27_CHUKWUDI049,2214.574753
DRG36_CHUKWUDI013,7136.853511
DRG39_CHUKWUDI018,1780.690986
DRG39_CHUKWUDI046,2493.558209
DRG39_CHUKWUDI049,2829.672428
DRG49_CHUKWUDI010,6896.92669
DRG49_CHUKWUDI018,10199.10916
DRH03_CHUKWUDI018,2714.481704
DRH03_CHUKWUDI019,-2534.508373
DRH03_CHUKWUDI035,3949.610587
DRH11_CHUKWUDI027,6989.31549
DRH11_CHUKWUDI045,1731.907296
DRH11_CHUKWUDI049,2266.238527
DRH13_CHUKWUDI019,-2624.523494
DRH13_CHUKWUDI045,3164.720376
DRH15_CHUKWUDI018,1317.631336
DRH15_CHUKWUDI019,-3920.39762
DRH15_CHUKWUDI046,1988.312509
DRH23_CHUKWUDI017,2658.587597
DRH23_CHUKWUDI019,-3761.052998
DRH23_CHUKWUDI045,2297.680028
DRH23_CHUKWUDI049,2803.668629
DRH25_CHUKWUDI017,3297.330242
DRH25_CHUKWUDI027,7733.518333
DRH25_CHUKWUDI035,3548.150568
DRH25_CHUKWUDI045,2892.851195
DRH36_CHUKWUDI017,4949.952671
DRH36_CHUKWUDI019,-1429.486662
DRH36_CHUKWUDI035,5095.188862
DRH36_CHUKWUDI045,4467.411496
DRH36_CHUKWUDI046,4491.152152
DRH39_CHUKWUDI017,2536.163893
DRH39_CHUKWUDI019,-3535.016032
DRH39_CHUKWUDI027,7037.663719
DRH39_CHUKWUDI046,2397.630782
DRH39_CHUKWUDI049,2474.308436
DRH49_CHUKWUDI018,2717.634524
DRH49_CHUKWUDI019,-2493.675629
DRH49_CHUKWUDI046,3433.937516
DRH51_CHUKWUDI019,-2294.639009
DRH51_CHUKWUDI027,8699.771232
DRH51_CHUKWUDI035,4284.151576
DRH51_CHUKWUDI049,3920.126885
DRH59_CHUKWUDI046,3951.21141
DRH59_CHUKWUDI049,4220.24626
DRI01_CHUKWUDI013,7586.620788
DRI03_CHUKWUDI013,6250.023045
DRI11_CHUKWUDI027,9754.446982
DRI11_CHUKWUDI035,5562.657002
DRI11_CHUKWUDI045,4984.623259
DRI13_CHUKWUDI013,10612.21537
DRI13_CHUKWUDI018,10225.62332
DRI13_CHUKWUDI046,10867.27621
DRI25_CHUKWUDI017,3326.626236
DRI25_CHUKWUDI027,8122.345156
DRI25_CHUKWUDI045,3164.197818
DRI25_CHUKWUDI046,3223.474047
DRI25_CHUKWUDI049,3488.541808
DRI37_CHUKWUDI017,4037.006131
DRI37_CHUKWUDI018,2876.251141
DRI37_CHUKWUDI027,8510.336746
DRI37_CHUKWUDI046,3625.091219
DRI37_CHUKWUDI049,3911.290514
DRI39_CHUKWUDI017,3975.003827
DRI39_CHUKWUDI018,2529.645555
DRI39_CHUKWUDI027,8433.938673
DRI39_CHUKWUDI035,4245.221711
